file,token,time,sequence,sample,amplitude
01-breathy,2,0.09509458074373525,0,0.772663696628684,0.047673700115838845
01-breathy,2,0.09509458074373525,0,0.795389099470704,0.008513249121857762
01-breathy,2,0.09509458074373525,0,0.8181145023127241,0.04265104474118049
01-breathy,2,0.09509458074373525,0,0.8408399051547443,0.04835796867338283
01-breathy,2,0.09509458074373525,0,0.8635653079967643,0.08384065919154855
01-breathy,2,0.09509458074373525,0,0.8862907108387845,0.13352053940162856
01-breathy,2,0.09509458074373525,0,0.9090161136808046,0.11621601158030749
01-breathy,2,0.09509458074373525,0,0.9317415165228247,0.12352545141782968
01-breathy,2,0.09509458074373525,0,0.9544669193648448,0.14165609342276247
01-breathy,2,0.09509458074373525,0,0.9771923222068649,0.2659204949895052
01-breathy,2,0.09509458074373525,0,0.999917725048885,0.3418519703437649
01-breathy,2,0.19487603288821803,1,0,0.3374688495108607
01-breathy,2,0.19487603288821803,1,0.02225284706521623,0.34636733282074345
01-breathy,2,0.19487603288821803,1,0.04450569413043246,0.3338380094220246
01-breathy,2,0.19487603288821803,1,0.0667585411956487,0.3361871546708105
01-breathy,2,0.19487603288821803,1,0.08901138826086492,0.37064598263492554
01-breathy,2,0.19487603288821803,1,0.11126423532608115,0.39386874460207616
01-breathy,2,0.19487603288821803,1,0.1335170823912974,0.3763450108211859
01-breathy,2,0.19487603288821803,1,0.1557699294565136,0.35062629218737806
01-breathy,2,0.19487603288821803,1,0.17802277652172985,0.40064233188746934
01-breathy,2,0.19487603288821803,1,0.20027562358694606,0.3997810451367519
01-breathy,2,0.19487603288821803,1,0.2225284706521623,0.4068600488499815
01-breathy,2,0.19487603288821803,1,0.24478131771737852,0.4582951829072064
01-breathy,2,0.19487603288821803,1,0.2670341647825948,0.3672375394258387
01-breathy,2,0.19487603288821803,1,0.28928701184781097,0.38098004386427203
01-breathy,2,0.19487603288821803,1,0.3115398589130272,0.3885802218325053
01-breathy,2,0.19487603288821803,1,0.33379270597824345,0.37659892472009326
01-breathy,2,0.19487603288821803,1,0.3560455530434597,0.36782640413534806
01-breathy,2,0.19487603288821803,1,0.3782984001086759,0.38415449953772524
01-breathy,2,0.19487603288821803,1,0.4005512471738921,0.3717910194643034
01-breathy,2,0.19487603288821803,1,0.42280409423910836,0.35789719940655207
01-breathy,2,0.19487603288821803,1,0.4450569413043246,0.3179021718495004
01-breathy,2,0.19487603288821803,1,0.46730978836954085,0.9791351154715786
01-breathy,2,0.19487603288821803,1,0.48956263543475703,0.9569812826680425
01-breathy,2,0.19487603288821803,1,0.5118154824999733,0.8284940510607275
01-breathy,2,0.19487603288821803,1,0.5340683295651896,0.665785410632487
01-breathy,2,0.19487603288821803,1,0.5563211766304057,0.546277768849588
01-breathy,2,0.19487603288821803,1,0.5785740236956219,0.4071010697090836
01-breathy,2,0.19487603288821803,1,0.6008268707608382,0.319210281935239
01-breathy,2,0.19487603288821803,1,0.6230797178260544,0.2656451635011512
01-breathy,2,0.19487603288821803,1,0.6453325648912707,0.1747169982308205
01-breathy,2,0.19487603288821803,1,0.6675854119564869,0.16827635886852707
